Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z
HYDRA-0011,150.77,-23.91,19.978,19.217,19.283,20.346,20.511,22.781,20.719,22.71,20.207,22.488,20.757,21.904
HYDRA-0012,152.31,-23.91,20.824,20.049,20.073,21.092,21.22,23.569,21.506,23.573,21.096,23.361,21.624,22.781
HYDRA-0013,153.85,-23.91,20.85,20.058,20.069,21.108,21.225,23.569,21.502,23.558,21.084,23.344,21.606,22.771
HYDRA-0014,155.38,-23.91,20.775,19.981,19.994,20.99,21.087,23.436,21.376,23.478,21.006,23.288,21.579,22.685
HYDRA-0015,156.93,-23.91,20.903,20.074,20.07,21.112,21.256,23.589,21.505,23.525,20.982,23.303,21.389,22.714
HYDRA-0016,158.46,-23.91,20.88,20.07,20.072,21.07,21.181,23.525,21.462,23.536,21.062,23.339,21.597,22.758
HYDRA-0017,160.0,-23.91,20.801,19.976,19.984,21.011,21.159,23.516,21.449,23.472,20.931,23.22,21.415,22.543
HYDRA-0018,161.54,-23.91,20.834,20.032,20.038,21.018,21.121,23.445,21.377,23.52,21.034,23.311,21.589,22.745
HYDRA-0019,163.08,-23.91,20.898,20.08,20.072,21.064,21.178,23.515,21.46,23.53,21.051,23.326,21.59,22.751
HYDRA-0020,164.62,-23.91,20.842,20.052,20.028,21.091,21.234,23.56,21.487,23.511,21.019,23.288,21.554,22.71
HYDRA-0021,151.17,-25.3,20.135,19.322,19.411,20.468,20.615,22.882,20.788,22.761,20.259,22.505,20.782,21.927
HYDRA-0022,152.73,-25.3,20.9,20.093,20.111,21.106,21.234,23.566,21.491,23.556,21.07,23.335,21.599,22.786
HYDRA-0023,154.29,-25.3,20.889,20.097,20.11,21.132,21.262,23.599,21.528,23.572,21.084,23.353,21.629,22.783
HYDRA-0024,155.85,-25.3,20.765,20.017,20.04,21.042,21.181,23.531,21.468,23.54,21.065,23.331,21.602,22.772
HYDRA-0025,157.4,-25.3,20.887,20.078,20.048,21.078,21.193,23.519,21.447,23.553,21.076,23.35,21.617,22.777
HYDRA-0026,158.96,-25.3,20.836,20.04,20.05,21.065,21.167,23.496,21.428,23.515,21.035,23.29,21.566,22.679
